Id,Secretaria,Responsável Id,Responsável,Endereço,Telefone,E-mail
esporte-e-lazer,Secretaria do Esporte e Lazer,danrlei-de-deus-hinterholz,Danrlei de Deus Hinterholz,"Av. Borges de Medeiros, 1.501 - 9º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3215-9400,gabinete-sel@esporte.rs.gov.br
Inclusao-digital,Secretaria Extraordinária de Inclusão Digital e Apoio às Políticas de Equidade,lisiane-lemos,Lisiane Lemos,"Av. Borges de Medeiros, 1.501 - 2º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-7514,seidape@gg.rs.gov.br
fazenda,Secretaria da Fazenda,pricilla-maria-santana,Pricilla Maria Santana,"Av. Mauá, 1155 - 5º andar, Centro Histórico, Porto Alegre, CEP 90030-080",(51) 3214-5102,gabinete.gsf@sefaz.rs.gov.br
habitacao,Secretaria de Habitação e Regularização Fundiária,carlos-gomes,Carlos Gomes,"Av. Borges de Medeiros, 1.501 - 14º andar, Praia de Belas, Porto Alegre, CEP 90020-020",(51) 3288-5662,sehab@sehab.rs.gov.br
inovacao,"Secretaria de Inovação, Ciência e Tecnologia",simone-stulp,Simone Stülp,"Av. Borges de Medeiros, 1.501 - 18º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-5800,gabinete@sict.rs.gov.br
justica,"Secretaria de Justiça, Cidadania e Direitos Humanos",fabricio-guazzelli-peruchin,Fabricio Guazzelli Peruchin,"Av. Borges de Medeiros, 1.501 - 4º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-9373,gabinete@justica.rs.gov.br
transportes,Secretaria de Logística e Transportes,juvir-costella,Juvir Costella,"Av. Borges de Medeiros, 1.555- 13º andar, Praia de Belas, Porto Alegre, CEP 90110-150",(51) 3288-5300,gabinete@transportes.rs.gov.br
Meio-ambiente,Secretaria do Meio Ambiente e Infraestrutura,marjorie-kauffmann,Marjorie Kauffmann,"Av. Borges de Medeiros, 1.501 - 7º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-7400,gabinete@sema.rs.gov.br
obras-publicas,Secretaria de Obras Públicas,izabel-matte,Izabel Matte,"Av. Borges de Medeiros, 1.501, 3º andar, Praia de Belas, Porto Alegre, CEP 90020-020",(51) 3288-5770,gabinete@sop.rs.gov.br
planejamento,"Secretaria de Planejamento, Governança e Gestão",danielle-calazans,Danielle Calazans,"Av. Borges de Medeiros, 1.501 - 21º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-1299,ouvidoria@planejamento.rs.gov.br
reconstrucao-gaucha,Secretaria da Reconstrução Gaúcha,pedro-capeluppi,Pedro Capeluppi,"Av. Borges de Medeiros, 1.501 - 10º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288.1155,gabinete@serg.rs.gov.br
saude,Secretaria da Saúde,arita-bergmann,Arita Bergmann,"Av. Borges de Medeiros, 1.501 - 6º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-5800,secretaria@saude.rs.gov.br
seguranca-publica,Secretaria da Segurança Pública,sandro-caron,Sandro Caron,"Avenida Pernambuco, 649, Navegantes, Porto Alegre – RS, CEP 90240-003",(51) 3288.1951,gabinete@ssp.rs.gov.br
sistemas-penal-e-socioeducativo,Secretaria de Sistemas Penal e Socioeducativo,luiz-henrique-viana,Luiz Henrique Viana,"Av. Borges de Medeiros, 1.501 - 11º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-7354,gabinete@ssps.rs.gov.br
trabalho,Secretaria de Trabalho e Desenvolvimento Profissional,gilmar-sossella,Gilmar Sossella,"Av. Borges de Medeiros, 1.501 - 14º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-7510,stdp@stdp.rs.gov.br
turismo,Secretaria de Turismo,ronaldo-santini,Ronaldo Santini,"Av. Borges de Medeiros, 1.501 - 17º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-5550,gabinete@setur.rs.gov.br
chefe-de-gabinete-do-governador,Chefe de Gabinete do Governador,euclides-maria-da-silva-neto,Euclides Maria da Silva Neto,"Praça Marechal Deodoro, s/n, Centro Histórico, Porto Alegre, CEP 90010-905",(51) 3210-4339,agenda@gg.rs.gov.br
